wall,arm,rep,cam_hz,viewer_fps,frames,cpu_pct,gpu_pct,rx_fps,verdict
10:55:30,HZ10,1,10,10.1,103,41.2,6,10.0,PASS
10:56:24,HZ30,1,30,28.6,287,31.4,13,30.4,PASS
10:57:19,HZ10,2,10,9.9,101,31.2,5,10.0,PASS
10:58:13,HZ30,2,30,27.0,271,36.7,14,30.2,PASS
10:59:09,HZ10,3,10,10.2,102,33.1,8,10.0,PASS
11:00:02,HZ30,3,30,28.0,281,28.8,11,30.3,PASS
11:00:38,HZ10,4,10,10.2,102,27.8,5,10.0,FAIL
11:01:34,HZ30,4,30,27.9,280,25.2,11,30.3,PASS
11:02:27,HZ10,5,10,10.0,101,29.9,4,10.2,PASS
11:03:23,HZ30,5,30,28.6,287,33.4,11,30.9,PASS
11:04:19,HZ10,6,10,10.1,101,28.0,6,10.0,PASS
11:05:12,HZ30,6,30,27.9,281,42.3,12,30.3,PASS
11:06:06,HZ10,7,10,10.1,102,44.4,8,10.0,PASS
11:07:00,HZ30,7,30,27.7,278,48.7,13,30.3,PASS
11:07:55,HZ10,8,10,10.1,101,49.2,7,10.0,PASS
11:08:49,HZ30,8,30,27.5,276,52.6,13,30.3,PASS
