wall,arm,rep,terrain,speed,verdict,truth_lines,snapshot,truth
17:56:39,A,1,flat,3.5,FAIL,1820,/tmp/cheetah_conductor/archive/shm_trace/20260903_175639_dog0_FAIL_c23.json,/tmp/c23/truth_A_1.jsonl
17:57:32,B,1,rough,2.5,PASS,2675,/tmp/cheetah_conductor/archive/shm_trace/20260903_175732_dog0_PASS_c23.json,/tmp/c23/truth_B_1.jsonl
17:58:21,A,2,flat,3.5,PASS,2511,/tmp/cheetah_conductor/archive/shm_trace/20260903_175821_dog0_PASS_c23.json,/tmp/c23/truth_A_2.jsonl
17:59:00,B,2,rough,2.5,FAIL,1878,/tmp/cheetah_conductor/archive/shm_trace/20260903_175900_dog0_FAIL_c23.json,/tmp/c23/truth_B_2.jsonl
17:59:49,A,3,flat,3.5,PASS,2525,/tmp/cheetah_conductor/archive/shm_trace/20260903_175949_dog0_PASS_c23.json,/tmp/c23/truth_A_3.jsonl
18:00:26,B,3,rough,2.5,FAIL,1820,/tmp/cheetah_conductor/archive/shm_trace/20260903_180025_dog0_FAIL_c23.json,/tmp/c23/truth_B_3.jsonl
18:01:04,A,4,flat,3.5,FAIL,1884,/tmp/cheetah_conductor/archive/shm_trace/20260903_180104_dog0_FAIL_c23.json,/tmp/c23/truth_A_4.jsonl
18:01:57,B,4,rough,2.5,PASS,2685,/tmp/cheetah_conductor/archive/shm_trace/20260903_180157_dog0_PASS_c23.json,/tmp/c23/truth_B_4.jsonl
18:02:46,A,5,flat,3.5,PASS,2519,/tmp/cheetah_conductor/archive/shm_trace/20260903_180246_dog0_PASS_c23.json,/tmp/c23/truth_A_5.jsonl
18:03:19,B,5,rough,2.5,FAIL,1504,/tmp/cheetah_conductor/archive/shm_trace/20260903_180319_dog0_FAIL_c23.json,/tmp/c23/truth_B_5.jsonl
18:04:08,A,6,flat,3.5,PASS,2516,/tmp/cheetah_conductor/archive/shm_trace/20260903_180407_dog0_PASS_c23.json,/tmp/c23/truth_A_6.jsonl
18:05:01,B,6,rough,2.5,PASS,2691,/tmp/cheetah_conductor/archive/shm_trace/20260903_180500_dog0_PASS_c23.json,/tmp/c23/truth_B_6.jsonl
18:05:37,A,7,flat,3.5,FAIL,1837,/tmp/cheetah_conductor/archive/shm_trace/20260903_180537_dog0_FAIL_c23.json,/tmp/c23/truth_A_7.jsonl
18:06:30,B,7,rough,2.5,PASS,2687,/tmp/cheetah_conductor/archive/shm_trace/20260903_180630_dog0_PASS_c23.json,/tmp/c23/truth_B_7.jsonl
18:07:21,A,8,flat,3.5,PASS,2569,/tmp/cheetah_conductor/archive/shm_trace/20260903_180721_dog0_PASS_c23.json,/tmp/c23/truth_A_8.jsonl
18:08:14,B,8,rough,2.5,PASS,2713,/tmp/cheetah_conductor/archive/shm_trace/20260903_180814_dog0_PASS_c23.json,/tmp/c23/truth_B_8.jsonl
18:09:03,A,9,flat,3.5,PASS,2538,/tmp/cheetah_conductor/archive/shm_trace/20260903_180903_dog0_PASS_c23.json,/tmp/c23/truth_A_9.jsonl
18:09:56,B,9,rough,2.5,PASS,2713,/tmp/cheetah_conductor/archive/shm_trace/20260903_180955_dog0_PASS_c23.json,/tmp/c23/truth_B_9.jsonl
18:10:45,A,10,flat,3.5,PASS,2520,/tmp/cheetah_conductor/archive/shm_trace/20260903_181044_dog0_PASS_c23.json,/tmp/c23/truth_A_10.jsonl
18:11:37,B,10,rough,2.5,PASS,2701,/tmp/cheetah_conductor/archive/shm_trace/20260903_181137_dog0_PASS_c23.json,/tmp/c23/truth_B_10.jsonl
