file,reason,run_id,kind,n_records,span_s,end_roll_deg,end_pitch_deg,end_z,desc_dt,desc_dz,desc_rate,desc_vz_min,desc_contact_mean
20260830_023902_run1291_dog0_FALL.json,FALL,1291,TIP,250,0.5,180.0,-0.0,-0.4389,,,,,
20260830_025210_run1297_dog0_FALL.json,FALL,1297,TIP,29022,58.04,36.83,9.41,0.0834,0.954,0.1168,0.1224,-0.5272,0.2468
20260830_025528_run1298_dog0_FALL.json,FALL,1298,LEVEL,36722,73.44,-0.52,9.98,0.0694,1.032,0.1308,0.1267,-0.7104,0.3036
20260830_025852_run1299_dog0_FALL.json,FALL,1299,TIP,30025,60.05,36.36,9.35,0.0832,1.036,0.1179,0.1138,-0.584,0.3898
20260830_030202_run1300_dog0_FALL.json,FALL,1300,TIP,25306,50.61,-36.02,9.37,0.0839,0.72,0.1172,0.1627,-0.0936,0.6169
20260830_030459_run1301_dog0_FALL.json,FALL,1301,TIP,25138,50.27,-34.54,9.24,0.0832,0.67,0.117,0.1747,-0.069,0.5519
20260830_031004_run1303_dog0_FALL.json,FALL,1303,TIP,29319,58.63,-33.58,9.22,0.0825,0.716,0.1183,0.1653,-0.3851,0.1753
20260830_031350_run1304_dog0_FALL.json,FALL,1304,LEVEL,30410,60.82,0.54,10.31,0.0703,19.0351,0.1298,0.0068,-0.6355,0.6169
20260830_031735_run1305_dog0_FALL.json,FALL,1305,LEVEL,32724,65.44,0.22,10.47,0.0704,0.988,0.1301,0.1317,-0.5855,0.6299
20260830_032128_run1306_dog0_FALL.json,FALL,1306,LEVEL,27333,54.66,3.58,8.35,0.0667,0.83,0.1337,0.1611,-0.3304,0.1688
20260830_032832_run1309_dog0_FALL.json,FALL,1309,TIP,22143,44.28,-30.21,9.02,0.0804,0.888,0.1211,0.1363,-0.0701,0.2158
20260830_033116_run1310_dog0_FALL.json,FALL,1310,LEVEL,12987,25.97,5.56,7.92,0.0671,0.698,0.133,0.1906,-0.3729,0.1623
20260830_033328_run1311_dog0_FALL.json,FALL,1311,TIP,22036,44.07,-33.4,9.21,0.0836,0.682,0.1169,0.1714,-0.0875,0.5518
20260830_033626_run1312_dog0_FALL.json,FALL,1312,TIP,23275,46.55,-30.8,9.11,0.0817,0.95,0.1195,0.1258,-0.2489,0.2108
20260830_033952_run1313_dog0_FALL.json,FALL,1313,TIP,23137,46.27,-178.95,6.76,-0.0935,0.586,0.2943,0.5022,-0.3634,0.537
20260830_034312_run1314_dog0_FALL.json,FALL,1314,LEVEL,23243,46.48,0.56,7.75,0.0624,1.104,0.139,0.1259,-0.5805,0.5908
