wall,arm,rep,verdict,vetoed_pct
03:10:48,OFF,1,PASS,0
03:11:25,ON,1,FAIL,1.0
03:12:13,OFF,2,PASS,0
03:12:50,ON,2,FAIL,1.1
03:13:38,OFF,3,PASS,0
03:14:15,ON,3,FAIL,1.2
03:14:53,OFF,4,FAIL,0
03:15:30,ON,4,FAIL,1.2
03:16:06,OFF,5,FAIL,0
03:16:43,ON,5,FAIL,0.9
03:17:21,OFF,6,FAIL,0
03:18:12,ON,6,PASS,14.0
03:18:50,OFF,7,FAIL,0
03:19:27,ON,7,FAIL,1.0
03:20:15,OFF,8,PASS,0
03:20:52,ON,8,FAIL,0.8
03:21:31,OFF,9,FAIL,0
03:22:09,ON,9,FAIL,0.9
03:22:48,OFF,10,FAIL,0
03:23:24,ON,10,FAIL,1.0
03:24:13,OFF,11,PASS,0
03:24:51,ON,11,FAIL,0.9
03:25:30,OFF,12,FAIL,0
03:26:08,ON,12,FAIL,1.1
03:26:57,OFF,13,PASS,0
03:27:35,ON,13,FAIL,1.1
03:28:24,OFF,14,PASS,0
03:29:00,ON,14,FAIL,1.1
03:29:49,OFF,15,PASS,0
03:30:27,ON,15,FAIL,0.9
03:31:06,OFF,16,FAIL,0
03:31:45,ON,16,FAIL,1.0
03:32:23,OFF,17,FAIL,0
03:33:00,ON,17,FAIL,1.1
03:33:38,OFF,18,FAIL,0
03:34:15,ON,18,FAIL,1.0
03:34:53,OFF,19,FAIL,0
03:35:32,ON,19,FAIL,1.0
03:36:10,OFF,20,FAIL,0
03:36:49,ON,20,FAIL,1.0
