terrain,gait,speed,verdict,t_s,wall_s,ratio,xtrack_max_m,desync,when
flat,walking,1,PASS,29.7,63.4,1.01,0.18,0,2026-08-28 23:50:15
flat,walking,1.5,PASS,20.3,57.7,1.01,0.12,0,2026-08-28 23:51:17
flat,walking,2,PASS,15.9,53.6,1.00,0.11,0,2026-08-28 23:52:14
flat,trotting,1.5,PASS,20.2,59.5,0.91,0.05,0,2026-08-28 23:53:18
flat,trotting,2,PASS,15.7,50.6,1.00,0.05,0,2026-08-28 23:55:20
flat,trotting,2.5,PASS,16.5,51.4,1.00,0.05,0,2026-08-28 23:56:15
flat,trotRunning,2,PASS,15.7,49.7,1.00,0.05,0,2026-08-28 23:57:09
flat,trotRunning,3,PASS,15.7,51.3,1.00,0.05,0,2026-08-28 23:58:04
flat,trotRunning,3.5,PASS,15.5,54.0,1.00,0.05,0,2026-08-28 23:59:02
rough,walking,1,PASS,29.7,70.5,1.01,0.30,0,2026-08-29 00:00:17
rough,walking,1.5,PASS,20.4,60.0,0.77,0.05,0,2026-08-29 00:01:21
rough,walking,2,PASS,15.9,50.8,1.00,0.10,0,2026-08-29 00:03:25
rough,trotting,1.5,PASS,20.1,55.3,1.00,0.15,0,2026-08-29 00:04:24
rough,trotting,2,PASS,15.6,51.2,1.00,0.15,0,2026-08-29 00:05:19
rough,trotting,2.5,PASS,16.4,52.5,1.00,0.06,0,2026-08-29 00:06:16
rough,trotRunning,2,PASS,15.6,55.5,1.00,0.09,0,2026-08-29 00:07:15
rough,trotRunning,3,PASS,15.8,57.1,0.99,0.04,0,2026-08-29 00:08:16
rough,trotRunning,3.5,PASS,15.4,50.6,1.00,0.05,0,2026-08-29 00:10:19
rolling,walking,1,PASS,29.6,65.0,1.00,0.10,0,2026-08-29 00:11:28
rolling,walking,1.5,PASS,20.2,56.4,1.00,0.08,0,2026-08-29 00:12:28
rolling,walking,2,PASS,15.8,52.9,1.00,0.08,0,2026-08-29 00:13:25
