terrain,mission,gait,speed,verdict,t_mission_s,wall_s,flown_m,plan_m,ratio,xtrack_max_m,desync_events,when
flat,dash:30,walking,1.5,PASS,20.3,54.5,30.1,30.0,1.00,0.08,1,2026-08-28 18:23:29
concrete,dash:30,walking,1.5,PASS,20.4,54.6,30.1,30.0,1.00,0.09,1,2026-08-28 18:24:28
asphalt,dash:30,walking,1.5,PASS,20.4,54.6,30.1,30.0,1.00,0.09,1,2026-08-28 18:25:26
grass,dash:30,walking,1.5,PASS,20.3,54.5,30.2,30.0,1.01,0.15,1,2026-08-28 18:26:25
dirt,dash:30,walking,1.5,PASS,20.3,54.5,30.2,30.0,1.01,0.11,1,2026-08-28 18:27:23
gravel,dash:30,walking,1.5,PASS,20.3,54.5,30.1,30.0,1.00,0.08,1,2026-08-28 18:28:22
sand,dash:30,walking,1.5,PASS,20.3,54.5,30.2,30.0,1.01,0.14,1,2026-08-28 18:29:20
mud,dash:30,walking,1.5,PASS,20.4,54.6,30.3,30.0,1.01,0.20,1,2026-08-28 18:30:19
rock,dash:30,walking,1.5,PASS,20.3,54.9,30.2,30.0,1.01,0.13,1,2026-08-28 18:31:18
ice,dash:30,walking,1.5,PASS,20.9,56.8,30.6,30.0,1.02,0.47,1,2026-08-28 18:32:19
flat,oval:40:5.0,trotRunning,3.5,PASS,43.0,78.6,110.0,110.1,1.00,0.11,0,2026-08-28 18:33:41
concrete,oval:40:5.0,trotRunning,3.5,PASS,42.9,80.8,110.1,110.1,1.00,0.14,0,2026-08-28 18:35:06
asphalt,oval:40:5.0,trotRunning,3.5,PASS,43.1,78.6,110.0,110.1,1.00,0.14,0,2026-08-28 18:41:16
grass,oval:40:5.0,trotRunning,3.5,PASS,43.0,77.5,110.0,110.1,1.00,0.11,0,2026-08-28 18:42:37
dirt,oval:40:5.0,trotRunning,3.5,PASS,43.0,77.1,110.0,110.1,1.00,0.13,0,2026-08-28 18:43:58
gravel,oval:40:5.0,trotRunning,3.5,PASS,43.0,80.3,110.0,110.1,1.00,0.09,0,2026-08-28 18:45:22
sand,oval:40:5.0,trotRunning,3.5,PASS,43.0,79.9,109.9,110.1,1.00,0.15,0,2026-08-28 18:46:46
mud,oval:40:5.0,trotRunning,3.5,NOFEED,,84.3,0.2,110.1,0.00,0.20,1,2026-08-28 18:48:15
mud,oval:40:5.0,trotRunning,3.5,PASS,42.9,78.7,110.0,110.1,1.00,0.20,0,2026-08-28 18:51:21
rock,oval:40:5.0,trotRunning,3.5,PASS,43.1,78.6,110.0,110.1,1.00,0.13,0,2026-08-28 18:52:44
ice,oval:40:5.0,trotRunning,3.5,FELL,,49.0,,,,,0,2026-08-28 18:53:37
